,URL,whois,creation,expiration,duration
52,http://www.thenorthernecho.co.uk/sport/football/darlington/,"('thenorthernecho.co.uk', datetime.datetime(2004, 7, 9, 0, 0), datetime.datetime(2022, 7, 9, 0, 0))",2004-07-09 00:00:00,2022-07-09 00:00:00,6574 days 00:00:00
53,http://www.finance-factoring.com/,"('FINANCE-FACTORING.COM', datetime.datetime(2003, 11, 17, 14, 27, 57), datetime.datetime(2022, 11, 17, 14, 27, 57))",2003-11-17 14:27:57,2022-11-17 14:27:57,6940 days 00:00:00
54,http://www.imdb.com/name/nm0001932/,"('IMDB.COM', datetime.datetime(1996, 1, 5, 5, 0), datetime.datetime(2024, 1, 4, 5, 0))",1996-01-05 05:00:00,2024-01-04 05:00:00,10226 days 00:00:00
55,http://www.angelfire.com/rock/sick1tabs/,"(['ANGELFIRE.COM', 'angelfire.com'], [datetime.datetime(1998, 10, 15, 4, 0), datetime.datetime(1998, 10, 15, 0, 0)], [datetime.datetime(2021, 10, 14, 4, 0), datetime.datetime(2021, 10, 14, 0, 0)])",1998-10-15 04:00:00,2021-10-14 04:00:00,8400 days 00:00:00
56,http://www.wovenmusic.com/,"(['WOVENMUSIC.COM', 'wovenmusic.com'], datetime.datetime(1999, 12, 15, 22, 9, 47), [datetime.datetime(2021, 12, 15, 22, 9, 46), datetime.datetime(2021, 12, 15, 0, 0)])",1999-12-15 22:09:47,2021-12-15 22:09:46,8035 days 23:59:59
57,http://www.takeonepro.com/,"(['TAKEONEPRO.COM', 'takeonepro.com'], [datetime.datetime(1997, 5, 5, 4, 0), datetime.datetime(1997, 5, 5, 2, 0)], datetime.datetime(2022, 5, 6, 4, 0))",1997-05-05 04:00:00,2022-05-06 04:00:00,9132 days 00:00:00
58,http://www.newadvent.org/cathen/11582a.htm,"(['NEWADVENT.ORG', 'newadvent.org'], datetime.datetime(1998, 10, 10, 4, 0), datetime.datetime(2030, 10, 9, 4, 0))",1998-10-10 04:00:00,2030-10-09 04:00:00,11687 days 00:00:00
59,http://www.newportboatshow.com/,"('NEWPORTBOATSHOW.COM', [datetime.datetime(1996, 5, 1, 4, 0), datetime.datetime(1996, 4, 30, 23, 0)], [datetime.datetime(2022, 5, 2, 4, 0), datetime.datetime(2022, 5, 1, 23, 0)])",1996-05-01 04:00:00,2022-05-02 04:00:00,9497 days 00:00:00
60,http://www.artofeurope.com/wong/,"('ARTOFEUROPE.COM', datetime.datetime(1998, 11, 13, 5, 0), datetime.datetime(2021, 11, 12, 5, 0))",1998-11-13 05:00:00,2021-11-12 05:00:00,8400 days 00:00:00
61,http://www.octopusmediaink.com/StaceyEarle.html,"('OCTOPUSMEDIAINK.COM', datetime.datetime(1999, 11, 5, 14, 49, 28), datetime.datetime(2021, 11, 5, 14, 49, 28))",1999-11-05 14:49:28,2021-11-05 14:49:28,8036 days 00:00:00
62,http://www.lehighwheelmen.org/,"('LEHIGHWHEELMEN.ORG', datetime.datetime(2000, 2, 1, 15, 29, 9), datetime.datetime(2023, 2, 1, 15, 29, 9))",2000-02-01 15:29:09,2023-02-01 15:29:09,8401 days 00:00:00
63,http://www.evangelismos.org/,"(['EVANGELISMOS.ORG', 'evangelismos.org'], datetime.datetime(2021, 4, 12, 4, 31, 16), datetime.datetime(2022, 4, 12, 4, 31, 16))",2021-04-12 04:31:16,2022-04-12 04:31:16,365 days 00:00:00
64,http://www.scoobymods.com/,"('SCOOBYMODS.COM', [datetime.datetime(2001, 5, 22, 2, 3, 9), datetime.datetime(2001, 5, 21, 21, 3, 9)], [datetime.datetime(2022, 5, 22, 2, 3, 8), datetime.datetime(2022, 5, 21, 21, 3, 8)])",2001-05-22 02:03:09,2022-05-22 02:03:08,7669 days 23:59:59
65,http://www.bigcityimprov.com/,"('BIGCITYIMPROV.COM', datetime.datetime(2004, 8, 26, 19, 51, 43), datetime.datetime(2021, 8, 26, 19, 51, 43))",2004-08-26 19:51:43,2021-08-26 19:51:43,6209 days 00:00:00
66,http://www.kcacsports.com/sport/3/7.php,"('KCACSPORTS.COM', datetime.datetime(2004, 4, 26, 11, 23, 1), datetime.datetime(2022, 4, 26, 11, 23, 1))",2004-04-26 11:23:01,2022-04-26 11:23:01,6574 days 00:00:00
67,http://www.fuelfonts.com/,"(['FUELFONTS.COM', 'fuelfonts.com'], [datetime.datetime(1997, 7, 22, 4, 0), datetime.datetime(1997, 7, 21, 21, 0)], datetime.datetime(2021, 7, 21, 4, 0))",1997-07-22 04:00:00,2021-07-21 04:00:00,8765 days 00:00:00
68,http://www.xy-family-tree.com/,"('XY-FAMILY-TREE.COM', datetime.datetime(2006, 2, 1, 21, 30, 20), datetime.datetime(2022, 2, 1, 21, 30, 20))",2006-02-01 21:30:20,2022-02-01 21:30:20,5844 days 00:00:00
69,http://full-time.thefa.com/gen/Index.do?league=1073825,"('THEFA.COM', [datetime.datetime(1998, 7, 20, 4, 0), datetime.datetime(1998, 7, 20, 0, 0)], [datetime.datetime(2022, 7, 19, 4, 0), datetime.datetime(2022, 7, 19, 0, 0)])",1998-07-20 04:00:00,2022-07-19 04:00:00,8765 days 00:00:00
70,http://www.orisonmarketing.com/,"(['ORISONMARKETING.COM', 'orisonmarketing.com'], [datetime.datetime(2002, 4, 24, 18, 14, 48), datetime.datetime(2002, 4, 24, 13, 14, 48)], [datetime.datetime(2023, 4, 24, 18, 14, 48), datetime.datetime(2023, 4, 24, 13, 14, 48)])",2002-04-24 18:14:48,2023-04-24 18:14:48,7670 days 00:00:00
71,http://www.askdramy.com/,"('ASKDRAMY.COM', datetime.datetime(2005, 3, 23, 13, 38, 1), datetime.datetime(2022, 3, 23, 12, 38, 1))",2005-03-23 13:38:01,2022-03-23 12:38:01,6208 days 23:00:00
72,http://www.kew.org/plant-cultures/,"('KEW.ORG', datetime.datetime(1996, 12, 6, 5, 0), datetime.datetime(2025, 12, 5, 5, 0))",1996-12-06 05:00:00,2025-12-05 05:00:00,10591 days 00:00:00
73,http://ariaswebhosting.com/,"('ARIASWEBHOSTING.COM', datetime.datetime(2002, 2, 18, 3, 38, 35), datetime.datetime(2022, 2, 18, 3, 38, 35))",2002-02-18 03:38:35,2022-02-18 03:38:35,7305 days 00:00:00
74,http://groups.yahoo.com/group/hystergals/,"(['YAHOO.COM', 'yahoo.com'], [datetime.datetime(1995, 1, 18, 5, 0), datetime.datetime(1995, 1, 18, 0, 0)], [datetime.datetime(2023, 1, 19, 5, 0), datetime.datetime(2023, 1, 18, 21, 0)])",1995-01-18 05:00:00,2023-01-19 05:00:00,10228 days 00:00:00
75,http://utenti.multimania.it/fanenji/,"('multimania.it', datetime.datetime(2000, 2, 21, 0, 0), datetime.datetime(2021, 11, 5, 0, 0))",2000-02-21 00:00:00,2021-11-05 00:00:00,7928 days 00:00:00
76,http://www.zfa.com/,"('ZFA.COM', datetime.datetime(1996, 1, 18, 5, 0), datetime.datetime(2022, 1, 19, 5, 0))",1996-01-18 05:00:00,2022-01-19 05:00:00,9498 days 00:00:00
77,http://www.runnymede-school.org.uk/,"('runnymede-school.org.uk', datetime.datetime(2003, 7, 21, 0, 0), datetime.datetime(2021, 7, 21, 0, 0))",2003-07-21 00:00:00,2021-07-21 00:00:00,6575 days 00:00:00
